method,P@10,P@10_ci,R@10,mAP@20,mAP@20_ci,HitRate@10,MRR
PRE_global,0.7083769633507853,"[0.684, 0.733]",0.057920151556552696,0.08818727434023299,"[0.083, 0.094]",0.9685863852500916,0.881866547050806
POST_max,0.5191972076788831,"[0.499, 0.544]",0.037657185628540805,0.04629853066667501,"[0.044, 0.049]",0.970331609249115,0.8042626939464911
POST_mean,0.3944153577661431,"[0.374, 0.414]",0.026792915644720455,0.028365421042214237,"[0.027, 0.030]",0.8883071541786194,0.6533034047442083
POST_topk,0.4141361256544503,"[0.395, 0.435]",0.03006623467951753,0.032136587295581005,"[0.030, 0.034]",0.9389179944992065,0.6788158997352098
FUSION_b=0,0.5191972076788831,"[0.499, 0.544]",0.037657185628540805,0.04629853066667501,"[0.044, 0.049]",0.970331609249115,0.8042626939464911
FUSION_b=0.25,0.5602094240837696,"[0.538, 0.585]",0.041436759432157105,0.05312686197074965,"[0.051, 0.056]",0.9685863852500916,0.8206943223881936
FUSION_b=0.5,0.6139616055846422,"[0.590, 0.639]",0.046898645720622176,0.06259703382544474,"[0.059, 0.066]",0.9720767736434937,0.8356036743876533
FUSION_b=0.75,0.6673647469458989,"[0.643, 0.692]",0.05249918854375846,0.07702739434138638,"[0.073, 0.081]",0.9773123860359192,0.8612852468796417
FUSION_b=1,0.7083769633507853,"[0.684, 0.733]",0.057920151556552696,0.08818727434023299,"[0.083, 0.094]",0.9685863852500916,0.881866547050806
