method,P@10,P@10_ci,R@10,mAP@20,mAP@20_ci,HitRate@10,MRR
PRE_global,0.7053173241852488,"[0.684, 0.730]",0.05664170624909646,0.08595178712964725,"[0.081, 0.092]",0.9742709994316101,0.8850196218259482
POST_max,0.5765008576329331,"[0.553, 0.602]",0.04430679141025754,0.0548982870590398,"[0.052, 0.058]",0.9708404541015625,0.8264654422585005
POST_mean,0.3355060034305318,"[0.317, 0.356]",0.022825413506038283,0.020203000291135833,"[0.019, 0.021]",0.9090909361839294,0.4310130920828631
POST_topk,0.38524871355060036,"[0.366, 0.406]",0.030216549235166344,0.0315814094448163,"[0.029, 0.034]",0.953687846660614,0.6395457867282104
FUSION_b=0,0.5765008576329331,"[0.553, 0.602]",0.04430679141025754,0.0548982870590398,"[0.052, 0.058]",0.9708404541015625,0.8264654422585005
FUSION_b=0.25,0.5963979416809606,"[0.574, 0.623]",0.04618362256048752,0.059075988551828953,"[0.056, 0.063]",0.9674099683761597,0.8409548884977569
FUSION_b=0.5,0.6265866209262435,"[0.604, 0.653]",0.048816045804722624,0.06620210845716752,"[0.062, 0.070]",0.9725557565689087,0.8561892890795121
FUSION_b=0.75,0.6777015437392796,"[0.655, 0.704]",0.053910651477016895,0.0782855605117312,"[0.074, 0.083]",0.9811320900917053,0.8752016484283662
FUSION_b=1,0.7053173241852488,"[0.684, 0.730]",0.05664170624909646,0.08595178712964725,"[0.081, 0.092]",0.9742709994316101,0.8850196218259482
