method,P@10,P@10_ci,R@10,mAP@20,mAP@20_ci,HitRate@10,MRR
PRE_global,0.7553228621291448,"[0.733, 0.778]",0.06136464564664663,0.09804809069701893,"[0.093, 0.104]",0.9842932224273682,0.8803154071401685
POST_max,0.5949389179755672,"[0.569, 0.622]",0.04462642676047193,0.064876414157579,"[0.061, 0.069]",0.9755671620368958,0.8001278421358494
POST_mean,0.37923211169284465,"[0.361, 0.397]",0.027207911470020354,0.028734664884455852,"[0.027, 0.031]",0.9005235433578491,0.6508699220250774
POST_topk,0.5026178010471204,"[0.475, 0.531]",0.03651681893883917,0.0490352883868192,"[0.046, 0.053]",0.9179755449295044,0.695099573174679
FUSION_b=0,0.5949389179755672,"[0.569, 0.622]",0.04462642676047193,0.064876414157579,"[0.061, 0.069]",0.9755671620368958,0.8001278421358494
FUSION_b=0.25,0.6541012216404886,"[0.628, 0.680]",0.05020129117019058,0.07570558482497577,"[0.072, 0.080]",0.9808027744293213,0.8493376330659329
FUSION_b=0.5,0.7043630017452007,"[0.680, 0.729]",0.055347617360175135,0.0859061845905305,"[0.081, 0.090]",0.9755671620368958,0.8678096796552294
FUSION_b=0.75,0.7397905759162303,"[0.717, 0.764]",0.05942089018201827,0.09544706995513741,"[0.090, 0.101]",0.9808027744293213,0.8840224669990608
FUSION_b=1,0.7553228621291448,"[0.733, 0.778]",0.06136464564664663,0.09804809069701893,"[0.093, 0.104]",0.9842932224273682,0.8803154071401685
