method,P@10,P@10_ci,R@10,mAP@20,mAP@20_ci,HitRate@10,MRR
PRE_global,0.7399022801302931,"[0.717, 0.764]",0.05572954054125615,0.08838625578505424,"[0.084, 0.093]",0.9853420257568359,0.8698644370468473
POST_max,0.5876221498371335,"[0.561, 0.615]",0.040335438108012045,0.060296948629363134,"[0.057, 0.064]",0.9641693830490112,0.7917290641478453
POST_mean,0.4542345276872964,"[0.428, 0.482]",0.02810430731187239,0.0362460409885345,"[0.034, 0.039]",0.8664495348930359,0.6222625591855304
POST_topk,0.532899022801303,"[0.506, 0.562]",0.03536840784231106,0.05086560997829946,"[0.047, 0.055]",0.9381107687950134,0.7202430792016793
FUSION_b=0,0.5876221498371335,"[0.561, 0.615]",0.040335438108012045,0.060296948629363134,"[0.057, 0.064]",0.9641693830490112,0.7917290641478453
FUSION_b=0.25,0.6472312703583062,"[0.621, 0.673]",0.0459210309358,0.06962269125206651,"[0.066, 0.074]",0.9771987199783325,0.8291004972864524
FUSION_b=0.5,0.7030944625407166,"[0.679, 0.728]",0.05156709650780504,0.07965764170478423,"[0.076, 0.084]",0.9804560542106628,0.855731557240215
FUSION_b=0.75,0.7359934853420195,"[0.714, 0.761]",0.055053088730810835,0.08710537843231014,"[0.083, 0.092]",0.9788273572921753,0.8673441605444864
FUSION_b=1,0.7399022801302931,"[0.717, 0.764]",0.05572954054125615,0.08838625578505424,"[0.084, 0.093]",0.9853420257568359,0.8698644370468473
