method,P@10,P@10_ci,R@10,mAP@20,mAP@20_ci,HitRate@10,MRR
PRE_global,0.7572664359861593,"[0.735, 0.782]",0.06127820660692633,0.09795721619579235,"[0.093, 0.104]",0.9826989769935608,0.8784039729973986
POST_max,0.6486159169550173,"[0.622, 0.676]",0.049304085636265566,0.07634812409525217,"[0.072, 0.081]",0.9446367025375366,0.8176020533869474
POST_mean,0.5904844290657438,"[0.563, 0.620]",0.04146580703674129,0.0609202482761075,"[0.057, 0.065]",0.9152249097824097,0.7293952990983292
POST_topk,0.6197231833910034,"[0.592, 0.649]",0.04580154082749238,0.06867623120133065,"[0.065, 0.073]",0.9446367025375366,0.7728036457699703
FUSION_b=0,0.6486159169550173,"[0.622, 0.676]",0.049304085636265566,0.07634812409525217,"[0.072, 0.081]",0.9446367025375366,0.8176020533869474
FUSION_b=0.25,0.7024221453287197,"[0.678, 0.729]",0.05485122656402933,0.08662661671584058,"[0.082, 0.092]",0.9688581228256226,0.8459325523911826
FUSION_b=0.5,0.7399653979238755,"[0.717, 0.765]",0.05898337213216106,0.09487257643354519,"[0.090, 0.101]",0.9740484356880188,0.8657886886616787
FUSION_b=0.75,0.7577854671280276,"[0.733, 0.782]",0.061045836132341325,0.09870963508751865,"[0.094, 0.105]",0.9809688329696655,0.8887108756432355
FUSION_b=1,0.7572664359861593,"[0.735, 0.782]",0.06127820660692633,0.09795721619579235,"[0.093, 0.104]",0.9826989769935608,0.8784039729973986
