method,P@10,P@10_ci,R@10,mAP@20,mAP@20_ci,HitRate@10,MRR
PRE_global,0.7126297577854671,"[0.690, 0.738]",0.058342768982907404,0.08936490911945671,"[0.083, 0.096]",0.9688581228256226,0.8876135669744462
POST_max,0.622318339100346,"[0.596, 0.648]",0.04735366997477724,0.06684509847702372,"[0.063, 0.071]",0.9826989769935608,0.8327935086964569
POST_mean,0.5304498269896194,"[0.502, 0.556]",0.03862138118193481,0.05088137964419144,"[0.047, 0.054]",0.9532871842384338,0.7255407737941322
POST_topk,0.56280276816609,"[0.538, 0.586]",0.043359010270774975,0.056118260552506356,"[0.052, 0.060]",0.9809688329696655,0.7845126852250809
FUSION_b=0,0.622318339100346,"[0.596, 0.648]",0.04735366997477724,0.06684509847702372,"[0.063, 0.071]",0.9826989769935608,0.8327935086964569
FUSION_b=0.25,0.6567474048442907,"[0.632, 0.681]",0.051299567086764315,0.07317404145549214,"[0.069, 0.078]",0.9826989769935608,0.845304852044624
FUSION_b=0.5,0.6911764705882353,"[0.667, 0.715]",0.055075411260532364,0.08062283839532114,"[0.076, 0.086]",0.9809688329696655,0.8532192327846579
FUSION_b=0.75,0.7164359861591696,"[0.694, 0.741]",0.057948003233470366,0.08747075788785022,"[0.082, 0.094]",0.9775086641311646,0.8842953492162224
FUSION_b=1,0.7126297577854671,"[0.690, 0.738]",0.058342768982907404,0.08936490911945671,"[0.083, 0.096]",0.9688581228256226,0.8876135669744462
