method,P@10,P@10_ci,R@10,mAP@20,mAP@20_ci,HitRate@10,MRR
PRE_global,0.7017915309446254,"[0.678, 0.726]",0.05338572748286178,0.08095650065577785,"[0.076, 0.086]",0.9723126888275146,0.8846874207683272
POST_max,0.5078175895765472,"[0.487, 0.532]",0.03425985179181819,0.042649037038451285,"[0.040, 0.045]",0.9869706630706787,0.791118608138152
POST_mean,0.4034201954397394,"[0.380, 0.430]",0.024788317826279025,0.02982846894881484,"[0.028, 0.032]",0.8436481952667236,0.6210737327002164
POST_topk,0.4206840390879478,"[0.398, 0.445]",0.026660044956312818,0.031896434906599345,"[0.030, 0.034]",0.9039087891578674,0.6634303172526366
FUSION_b=0,0.5078175895765472,"[0.487, 0.532]",0.03425985179181819,0.042649037038451285,"[0.040, 0.045]",0.9869706630706787,0.791118608138152
FUSION_b=0.25,0.5485342019543974,"[0.525, 0.573]",0.038066278642809405,0.048949021889163113,"[0.046, 0.052]",0.9788273572921753,0.8073976676917853
FUSION_b=0.5,0.6017915309446255,"[0.577, 0.628]",0.04270276183664151,0.05851032434107253,"[0.056, 0.062]",0.9771987199783325,0.8282345030105617
FUSION_b=0.75,0.6705211726384364,"[0.647, 0.696]",0.049754909420263255,0.07219994091314606,"[0.069, 0.076]",0.9837133288383484,0.8647999536974915
FUSION_b=1,0.7017915309446254,"[0.678, 0.726]",0.05338572748286178,0.08095650065577785,"[0.076, 0.086]",0.9723126888275146,0.8846874207683272
