method,P@10,P@10_ci,R@10,mAP@20,mAP@20_ci,HitRate@10,MRR
PRE_global,0.7017915309446254,"[0.678, 0.726]",0.05338572748286178,0.08095650065577785,"[0.076, 0.086]",0.9723126888275146,0.8846874207683272
POST_max,0.5244299674267101,"[0.502, 0.548]",0.035820118773406885,0.04534713684342033,"[0.043, 0.048]",0.9739413857460022,0.7951464882718097
POST_mean,0.3851791530944626,"[0.362, 0.412]",0.023852853650248845,0.028911082808980165,"[0.027, 0.031]",0.8208469152450562,0.595200646049392
POST_topk,0.46498371335504884,"[0.442, 0.489]",0.030746946761111057,0.03692021233036508,"[0.035, 0.039]",0.9332247376441956,0.7078820868847315
FUSION_b=0,0.5244299674267101,"[0.502, 0.548]",0.035820118773406885,0.04534713684342033,"[0.043, 0.048]",0.9739413857460022,0.7951464882718097
FUSION_b=0.25,0.5600977198697068,"[0.537, 0.586]",0.038919861666855925,0.05120891808404615,"[0.049, 0.054]",0.9706840515136719,0.8129909290078736
FUSION_b=0.5,0.607328990228013,"[0.583, 0.633]",0.043179717858461454,0.05964756044802764,"[0.057, 0.063]",0.9788273572921753,0.8296495200039689
FUSION_b=0.75,0.6718241042345277,"[0.648, 0.697]",0.04971302115743295,0.07271869890198618,"[0.069, 0.077]",0.9820846915245056,0.8582150793470011
FUSION_b=1,0.7017915309446254,"[0.678, 0.726]",0.05338572748286178,0.08095650065577785,"[0.076, 0.086]",0.9723126888275146,0.8846874207683272
