method,P@10,P@10_ci,R@10,mAP@20,mAP@20_ci,HitRate@10,MRR
PRE_global,0.7435677530017153,"[0.720, 0.769]",0.058963866845493276,0.09334863706280094,"[0.088, 0.099]",0.9845626354217529,0.8760600248807796
POST_max,0.6327615780445969,"[0.609, 0.658]",0.04822310107877602,0.06799395710100778,"[0.064, 0.072]",0.9845626354217529,0.8409193562634185
POST_mean,0.29759862778730706,"[0.287, 0.309]",0.02301297827548677,0.01939904906119049,"[0.018, 0.021]",0.9691252112388611,0.5383498298302556
POST_topk,0.43739279588336194,"[0.419, 0.458]",0.03457971364042354,0.037405693568462434,"[0.035, 0.040]",0.9759863018989563,0.7142017407025983
FUSION_b=0,0.6327615780445969,"[0.609, 0.658]",0.04822310107877602,0.06799395710100778,"[0.064, 0.072]",0.9845626354217529,0.8409193562634185
FUSION_b=0.25,0.6816466552315609,"[0.659, 0.707]",0.05268613940466185,0.07771160096926383,"[0.074, 0.082]",0.9759863018989563,0.8632880508094916
FUSION_b=0.5,0.7154373927958834,"[0.694, 0.740]",0.05598617667424506,0.08528548781732836,"[0.081, 0.090]",0.9759863018989563,0.8738868374611355
FUSION_b=0.75,0.7367066895368782,"[0.714, 0.762]",0.05829980004407169,0.09191760278352368,"[0.087, 0.097]",0.9794167876243591,0.8861704372232946
FUSION_b=1,0.7435677530017153,"[0.720, 0.769]",0.058963866845493276,0.09334863706280094,"[0.088, 0.099]",0.9845626354217529,0.8760600248807796
